"SiteName","-30","-29","-28","-27","-26","-25","-24","-23","-22","-21","-20","-19","-18","-17","-16","-15","-14","-13","-12","-11","-10","-9","-8","-7","-6","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59"
"Site_11",0.11,0,0,0.75,0.82,0.44,0.29,0.51,0.39,0.41,0.21,0.48,0.3,0.63,0.51,0.28,0.01,0.32,0.42,0.06,0,0,0.48,0.41,0.6,0.75,0.42,0.01,0.01,0.73,0.05,0.01,0.77,0,0.19,0.1,0.01,0.4,0,0,0.1,0.66,0.3,0.29,0.43,0.85,0.57,1.08,0.06,0.27,0.02,0.31,0.36,0,0,1.49,0.41,0.54,0.7,0,0.01,0.8,0.63,0.45,0.32,0.16,0.84,0.07,0.02,0.01,1.74,1.35,0.81,0.02,0,0.41,0.03,0.55,1.2,0.37,0.75,0.23,0.26,0.63,1.3,0.03,0.27,0.76,0.74,1.13
"Site_12",0.1,0.32,0.38,0.39,0.11,0.43,0.42,0.57,0.16,0.15,0.27,0.01,0.39,0.47,0.28,0.23,0.26,0.19,0.06,0.44,0.24,0.11,0.02,0.4,0.12,0.3,0.31,0.16,0.15,0.13,0.26,0.26,0.19,0.11,0.12,0.37,0.36,0.34,0.16,0.28,0.36,0.07,0.02,0.06,0.29,0.31,0.2,0.04,0.13,0.29,0.94,0.77,0.21,0.01,0.52,0.59,0.32,0.49,0.71,0.8,0.41,0.29,0.09,0.25,0.26,0.01,0.18,0.2,0.16,0.16,0.11,0.06,0.02,0.57,0.64,0.16,0.02,0.1,0.03,0.08,0.03,0.01,0,0.65,0,0.46,0.03,0.11,0.7,0.2
"Site_13",0.36,0.04,0.03,0.7,0.26,0.26,0.29,0.32,0.26,0.26,0.27,0.26,0.28,0.19,0.16,0.18,0.07,0.72,0.28,0.1,0.02,0.12,0.26,0.41,0.49,0.59,0.32,0.04,0.02,0.22,0.13,0,0.24,0.09,0.06,0.13,0.48,0.38,0.02,0.05,0.56,0.56,0.27,0.2,0.24,0.52,0.54,0.44,0.33,0.25,0.21,0.43,0.6,0.11,0.02,0.65,0.29,0.41,0.43,0.19,0.13,0.53,0.48,0.29,0.13,0.02,0.27,0.2,0.06,0.02,1.17,0.86,0.59,0.17,0.19,0.21,0.06,0.68,0.73,0.44,0.43,0.25,0.19,0.25,0.37,0.15,0.85,0.74,0.39,0.36
"Site_14",0.03,0.01,0.02,0.28,0.23,0.16,0.35,0.26,0.24,0.23,0.21,0.23,0.24,0.03,0.18,0.19,0.17,0.69,0.33,0.2,0,0.06,0.32,0.41,0.55,0.48,0.3,0.01,0.19,0.48,0.05,0.05,0.22,0.16,0.11,0.15,0.67,0.31,0.06,0.03,0.64,0.36,0.21,0.17,0.2,0.32,0.39,0.35,0.38,0.22,0.19,0.4,0.58,0.04,0.04,0.46,0.22,0.27,0.21,0.2,0.27,0.45,0.28,0.29,0.14,0.02,0.25,0.01,0,0.09,0.96,0.47,0.29,0,0.27,0.25,0.07,0.38,0.4,0.26,0.35,0.18,0.11,0.29,0.22,0,0.74,0.55,0.31,0.27
"Site_15",0.04,0.15,0.16,0.12,0,0.68,0.9,0.58,0.05,0.12,0.25,0.05,0.64,0.39,0.25,0.17,0.22,0.19,0.1,0.57,0.44,0.13,0.03,0.22,0.22,0.17,0.1,0.11,0.12,0.09,0.21,0.18,0.19,0.13,0.04,0.38,0.21,0.23,0.24,0.31,0.24,0.01,0.07,0.08,0.23,0.25,0.07,0.07,0.16,0.01,0.52,0.59,0.01,0.01,0.45,0.43,0.23,0.29,0.14,0.67,0.71,0.59,0.08,0.48,0.3,0.01,0.31,0.11,0.11,0.15,0.08,0.01,0.02,0.45,0.57,0.08,0.02,0.03,0.08,0.11,0.01,0.01,0.09,0.3,0.03,0.23,0.02,0.13,0.88,0.06
"Site_16",0.04,0.03,0.06,0.31,0.27,0.26,0.4,0.3,0.27,0.26,0.29,0.28,0.27,0.16,0.3,0.2,0.21,0.8,0.4,0.2,0.06,0.14,0.37,0.52,0.71,0.6,0.32,0,0.15,0.49,0.02,0.11,0.25,0.17,0.18,0.19,0.81,0.35,0.03,0.04,0.71,0.27,0.2,0.16,0.2,0.25,0.5,0.43,0.43,0.26,0.27,0.34,0.56,0.04,0.06,0.69,0.22,0.31,0.24,0.22,0.32,0.51,0.23,0.31,0.09,0.01,0.25,0.11,0,0.11,1.24,0.37,0.27,0.03,0.3,0.34,0.05,0.24,0.33,0.2,0.28,0.18,0.21,0.29,0.27,0,1,0.57,0.34,0.31
"Site_17",0.22,0,0,0.77,0.73,0.46,0.24,0.51,0.41,0.42,0.24,0.44,0.32,0.7,0.35,0.26,0.01,0.48,0.41,0.08,0,0,0.54,0.46,0.66,0.87,0.42,0.01,0.02,0.7,0.05,0.01,0.61,0.07,0.16,0.16,0.1,0.42,0.01,0.01,0.24,0.7,0.32,0.31,0.41,0.87,0.62,0.98,0.16,0.31,0.06,0.32,0.43,0,0,1.37,0.42,0.54,0.69,0,0.03,0.81,0.64,0.44,0.31,0.18,0.77,0.1,0.03,0.02,1.76,1.36,0.8,0.04,0,0.35,0.05,0.58,1.16,0.34,0.68,0.28,0.33,0.58,1.18,0.05,0.4,0.78,0.7,1.11
"Site_18",0.02,0.27,0.12,0.36,0,0.68,0.7,0.36,0.09,0.21,0.21,0.06,0.43,0.4,0.22,0.17,0.33,0.07,0.07,0.35,0.18,0,0,0.17,0.17,0.26,0.22,0.1,0.09,0.13,0.26,0.26,0.15,0.2,0.15,0.19,0.15,0.14,0.23,0.27,0.2,0.02,0,0.03,0.22,0.24,0.11,0.09,0.28,0.08,0.57,0.87,0.07,0,0.53,0.4,0.2,0.33,0.47,0.6,0.57,0.47,0.08,0.35,0.25,0.02,0.24,0.21,0.08,0.33,0.16,0,0.01,0.58,0.63,0.15,0.06,0.3,0.16,0.34,0.01,0.03,0,0.61,0.02,0.33,0,0.15,0.84,0.1
"Site_19",0.12,0.34,0.44,0.38,0.1,0.52,0.43,0.54,0.16,0.16,0.26,0,0.38,0.48,0.28,0.26,0.3,0.18,0.05,0.44,0.26,0.16,0.01,0.38,0.14,0.29,0.32,0.19,0.18,0.16,0.27,0.27,0.18,0.15,0.12,0.36,0.37,0.33,0.17,0.27,0.38,0.08,0,0.08,0.28,0.3,0.21,0.05,0.14,0.29,0.86,0.81,0.25,0.01,0.5,0.55,0.31,0.46,0.67,0.84,0.43,0.32,0.09,0.27,0.27,0,0.16,0.2,0.15,0.17,0.12,0.05,0.04,0.55,0.63,0.18,0.03,0.13,0.09,0.1,0.03,0.04,0.13,0.61,0,0.49,0.07,0.15,0.68,0.18
"Site_20",0.38,0.03,0.01,0.63,0.29,0.24,0.34,0.36,0.29,0.28,0.27,0.3,0.29,0.02,0.21,0.19,0.09,0.69,0.32,0.12,0.03,0.15,0.32,0.39,0.55,0.57,0.29,0,0.01,0.26,0.08,0,0.26,0.11,0.09,0.12,0.44,0.38,0.02,0.06,0.49,0.6,0.28,0.22,0.26,0.54,0.56,0.47,0.38,0.29,0.19,0.44,0.63,0.06,0.02,0.73,0.32,0.42,0.5,0.17,0.17,0.58,0.51,0.3,0.17,0.05,0.3,0.12,0.06,0.04,1.14,0.94,0.65,0.14,0.18,0.23,0.05,0.61,0.66,0.4,0.52,0.21,0.15,0.31,0.4,0.13,0.71,0.73,0.41,0.44
"Site_21",0.16,0.9,1.05,0.73,0.08,0.41,1.12,1.31,0.04,0.23,0.14,0,0.23,1.04,0.29,0.5,0.77,0.12,0.04,0.63,0.59,0.13,0,0.41,0.23,1.1,0.53,0.28,0.24,0.32,0.37,0.33,0.24,0.37,0.02,0.16,0.25,0.25,0.01,0.15,0.59,0.18,0,0,0.4,0.24,0.13,0.01,0.3,0.19,0.76,1.03,0.02,0,0.16,0.7,0.85,0.75,0.27,0.34,0.15,0.07,0,0,0.38,0.12,0.02,0.67,0,0.34,0.3,0,0,0.18,1.22,0.08,0.3,0.01,0.06,0.18,0.31,0,0.01,1.47,0.06,0.11,0.01,0.01,1.58,0.23
"Site_22",0.17,0.32,0.2,0.44,0.01,0.87,0.33,0.26,0.11,0.2,0.24,0.09,0.29,0.31,0.23,0.2,0.38,0.05,0.09,0.41,0.17,0.01,0.04,0.24,0.2,0.28,0.22,0.12,0.11,0.16,0.18,0.17,0.14,0.18,0.06,0.07,0.11,0.18,0.22,0.26,0.16,0.08,0.06,0.08,0.24,0.27,0.11,0.11,0.31,0.16,0.51,0.48,0.04,0,0.5,0.24,0.2,0.56,0.47,0.53,0.25,0.32,0.09,0.23,0.25,0.02,0.22,0.25,0.14,0.37,0.19,0.01,0.02,0.61,0.53,0.27,0.12,0.36,0.17,0.41,0.03,0.11,0.02,0.62,0.11,0.34,0.13,0.1,0.8,0.1
"Site_23",0.12,0.34,0.45,0.38,0.1,0.52,0.43,0.54,0.17,0.16,0.26,0,0.38,0.49,0.28,0.26,0.3,0.18,0.04,0.44,0.27,0.16,0.01,0.38,0.14,0.3,0.32,0.19,0.18,0.16,0.27,0.27,0.19,0.15,0.12,0.36,0.37,0.33,0.17,0.27,0.38,0.08,0,0.08,0.29,0.3,0.21,0.05,0.14,0.28,0.85,0.81,0.25,0.01,0.49,0.56,0.32,0.46,0.67,0.84,0.43,0.31,0.09,0.27,0.27,0,0.16,0.2,0.15,0.17,0.12,0.05,0.04,0.55,0.63,0.19,0.03,0.13,0.09,0.1,0.03,0.04,0.12,0.6,0,0.49,0.08,0.15,0.67,0.18
"Site_24",0.11,0.22,0.23,0.25,0,0.74,0.92,0.6,0.08,0.22,0.27,0.02,0.49,0.3,0.21,0.21,0.26,0.21,0.08,0.56,0.49,0.06,0.03,0.25,0.21,0.29,0.12,0.14,0.12,0.11,0.17,0.16,0.16,0.16,0.1,0.38,0.23,0.24,0.12,0.28,0.31,0.03,0.08,0.14,0.25,0.26,0.11,0.1,0.22,0.14,0.6,0.8,0,0.02,0.35,0.51,0.27,0.45,0.43,0.75,0.64,0.48,0.07,0.24,0.22,0.01,0.3,0.22,0.14,0.19,0.12,0.04,0,0.66,0.55,0.14,0,0.15,0,0.14,0,0.09,0.1,0.45,0,0.31,0,0.11,0.72,0.04
"Site_25",0.07,0.02,0.02,0.3,0.27,0.16,0.45,0.3,0.22,0.27,0.24,0.28,0.3,0.23,0.26,0.18,0.16,0.87,0.42,0.16,0.06,0,0.34,0.57,0.79,0.65,0.31,0.01,0.16,0.45,0,0.06,0.19,0.16,0.12,0.14,0.82,0.33,0.03,0,0.5,0.29,0.25,0.21,0.22,0.32,0.42,0.39,0.36,0.23,0.26,0.48,0.72,0.03,0.02,0.69,0.26,0.33,0.29,0.21,0.28,0.42,0.22,0.4,0.16,0,0.45,0.43,0,0.09,0.72,0.46,0.36,0,0.23,0.33,0.06,0.41,0.53,0.24,0.32,0.16,0.16,0.41,0.26,0,0.93,0.59,0.37,0.36
"Site_26",0.09,0.75,0.88,0.6,0.03,0.23,0.86,1.15,0.03,0.13,0.11,0,0.13,0.95,0.28,0.42,0.7,0.12,0.03,0.54,0.51,0.11,0,0.35,0.23,1.03,0.52,0.26,0.24,0.31,0.36,0.33,0.24,0.4,0.02,0.16,0.25,0.25,0,0.12,0.55,0.15,0,0,0.39,0.23,0.12,0.01,0.28,0.18,0.73,1.03,0.02,0,0.1,0.68,0.82,0.62,0.24,0.34,0.13,0.07,0,0.01,0.37,0.06,0.03,0.64,0.01,0.31,0.18,0,0,0.16,1.19,0.07,0.15,0.01,0.03,0.1,0.13,0,0.01,1.43,0.03,0.1,0.02,0.01,1.53,0.1
"Site_27",0.09,0,0,0.8,0.72,0.33,0.27,0.51,0.35,0.4,0.14,0.48,0.28,0.12,0.2,0.08,0.01,0.18,0.43,0.03,0,0,0.44,0.39,0.59,0.72,0.45,0,0,0.67,0.06,0.01,0.83,0,0.07,0.05,0.02,0.41,0,0,0.11,0.67,0.3,0.24,0.4,0.9,0.58,1.07,0.02,0.26,0.01,0.29,0.35,0,0,1.42,0.37,0.45,0.67,0,0,0.69,0.53,0.33,0.1,0.04,0.89,0.04,0.01,0.01,1.59,1.27,0.8,0.01,0,0.36,0.01,0.53,1.18,0.46,0.74,0.1,0.06,0.53,1.11,0.01,0.31,0.79,0.72,0.99
