"V.Names","Mean","Sd"
"SRI.cov",0.0813460349069767,0.648546919531533
"RI",256.558139534884,110.088990480555
"Area",2.4825208223956,2.76131955171235
"Trees_W0",5.22822945873171,1.56479999053532
"DCoast",29328.1997106974,32736.4865766826
