"SiteName","Year","ND","SRI","RI","TSA","TreesW0","Dcoast"
"Site_1",0,1,1.21852091081376,0.866951909073726,0.157783399810156,-1.47044777329309,0.812527807985619
"Site_4",1,2,-0.743222882401711,1.90247780046734,2.43584588895533,0.850164009659266,-0.845760929989915
"Site_5",1,1,-0.499101641159269,-1.54019161039389,-0.182338408624836,2.75689040156018,-0.439379498682752
"Site_7",1,2,-0.366197272324612,-0.286660268180567,1.77722217658242,0.780828205303284,-0.763311975467028
"Site_8",0,1,-0.198561729350278,1.92972848181981,-0.616839422070568,-0.52043931982202,-0.77965354907319
"Site_9",0,1,0.623294310587453,1.60272030559024,-0.427526325748429,-1.21879915597345,-0.852176980610008
"Site_10",1,1,-0.574911146253387,-0.786256092975733,-0.762954820597405,0.473026283068336,-0.894723940493665
"Site_11",1,1,-1.50861348568846,-0.568250642156024,-0.0957597872423307,0.905341273541063,-0.851833534193617
"Site_12",0,1,1.32119015030086,-0.123156180065785,1.13779832120435,0.761798904319065,-0.371524934485805
"Site_14",1,1,-1.4878140221589,-0.441080795844527,-0.606979620252214,-0.00126488161022426,1.49848785404611
"Site_15",0,1,1.25384102460992,0.394606765631024,0.103602053052206,-1.5812564958447,0.719730576893514
"Site_17",1,1,-1.5683755797371,-0.513749279451097,-0.874204209432015,-0.282793527868262,-0.884624640382899
"Site_18",0,1,-1.04539730355471,-0.650002686213415,-0.81973757745311,-0.742307555443129,1.66236440926023
"Site_19",0,1,-0.776885156236532,-0.559167081705203,-0.74363638103783,0.700901301701238,-0.159481020007081
"Site_20",1,1,0.0906065749806806,-0.831673895229839,-0.456551184572946,0.331530462938472,-0.607349220727286
"Site_21",0,1,1.3828048551072,0.0675985894014603,0.0242123690919664,-0.84685702821251,-0.809209570845214
"Site_22",0,1,-0.0876402773573164,-1.25860123641844,-0.751421377745161,-0.0802645005696481,2.11231602259224
"Site_23",0,1,0.738967138166665,1.30296281071314,-0.585647902684997,0.178760953451053,-0.106223906849378
"Site_25",1,2,1.05151396075649,-0.15949042186907,-0.285440934686176,-1.66340501372399,0.763031440493509
"Site_26",0,1,0.0471600622436326,1.04862311809015,3.2869833063132,0.598463893106186,-0.791815991920175
"Site_28",1,1,-1.08237184352681,-1.19501631326269,0.777780558393257,1.29467083111064,-0.367833670008875
"Site_30",1,2,0.208116890279148,2.25673665804937,0.00875794793340073,-0.632472588648937,-0.777930051260808
"Site_31",0,1,-0.525025674554023,0.748865623213051,-0.133848388764642,0.7033327204276,-0.819014107909635
"Site_32",0,1,0.129482995854304,-1.10418070875448,-0.792549202704375,0.0891568277812708,2.08479829774752
"Site_33",1,1,-1.38254842001972,-0.731754730270806,-0.273914483986569,2.41362066788882,-0.886426463521794
"Site_34",0,1,0.218435526908914,-0.650002686213415,1.82081929543632,-1.05186150670197,-0.834491491617662
"Site_36",1,1,0.880680414773372,-0.75900541162327,-0.844816002690015,0.0352146239785196,-0.101196343197595
"Site_37",1,1,0.328374513361124,-0.977010862442979,-0.252868314272882,0.283121191173276,-0.690153871637222
"Site_38",0,1,-1.52059872186168,-0.540999960803561,-0.54677773915509,-0.0840077700196917,-0.277382967149727
"Site_39",1,1,-1.47779817626653,0.421857446983487,-0.517597395983769,-1.07128238233068,0.739735269164506
"Site_41",1,2,0.395020158723562,0.703447820958945,-0.265884087915046,0.473360569241116,-0.870145495646652
"Site_42",0,1,-1.6243576928373,-1.03151222514791,-0.399494478052381,-0.937949289755301,-0.678781140262158
"Site_44",0,1,0.250584409853359,-0.359328751787136,-0.5299792903707,-1.2316202488424,0.675267147484545
"Site_46",1,1,-0.54073542614356,-1.29493547822172,-0.864005225996723,1.68824798264763,-0.862380603079315
"Site_47",0,1,1.2969186280317,-1.1132642692053,-0.81584795032421,0.0671677108282295,1.47991354557304
"Site_48",0,1,1.25623631160183,0.36735608427856,0.855661714550442,-0.141297097436758,1.49081819073598
"Site_50",1,1,0.869015940280972,-0.0868219382625002,-0.427442836435629,-0.183297041453575,-0.874498763574967
"Site_51",1,1,1.19584178528399,1.26662856890986,-0.857313501136205,0,1.82496407393504
"Site_52",0,1,1.37651141375843,0.321938282024454,-0.250215401370225,0.130351377493626,-0.838209512753342
"Site_54",1,2,1.15415089880267,1.86614355866406,0.14717657172816,-0.616786145558148,1.27374140323913
"Site_55",0,1,0.996993595405683,0.340105402926096,0.415714240391845,-0.0456688191231774,-0.837836357925887
"Site_57",0,1,-0.00372844713952751,-0.195824663672355,2.45641525172038,0,0.854545225975115
"Site_58",1,1,-1.27037757191431,0.349188963376918,-0.424180843856943,-1.11187204898723,0.881109268147539
